anime_id,name,genre
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Super Power, Fantasy, Shounen"
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
143,Kannazuki no Miko,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai"
144,Kanon,"Drama, Romance, Slice of Life, Supernatural"
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life"
149,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai"
150,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
152,Solty Rei,"Action, Sci-Fi, Super Power"
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural"
154,Shaman King,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
155,X/1999,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural"
156,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo"
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural"
158,Maria-sama ga Miteru,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai"
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi"
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen"
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen"
164,Mononoke Hime,"Action, Adventure, Fantasy"
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi"
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi"
167,Scrapped Princess,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen"
168,s.CRY.ed,"Action, Sci-Fi, Adventure, Super Power, Drama"
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports"
173,Tactics,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen"
174,Tenjou Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen"
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo"
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
